%time,CO2air,co2_dos
43921.38889,895,0.0087
43921.39236,900,0.0087
43921.39583,939,0.0086
43921.39931,912,0.0085
43921.40278,901,0.0084
43921.40625,880,0.0082
43921.40972,943,0.0087
43921.41319,937,0.0091
43921.41667,912,0.0095
43921.42014,896,0.0096
43921.42361,937,0.0097
43921.42708,887,0.0097
43921.43056,930,0.0097
43921.43403,902,0.0097
43921.4375,865,0.0097
43921.44097,903,0.0097
43921.44444,922,0.0097
43921.44792,820,0.0097
43921.45139,853,0.0097
43921.45486,891,0.0097
43921.45833,943,0.0097
43921.46181,951,0.0097
43921.46528,929,0.0097
43921.46875,938,0.0097
43921.47222,921,0.0097
43921.47569,848,0.0097
43921.47917,843,0.0097
43921.48264,876,0.0097
43921.48611,887,0.0097
43921.48958,922,0.0097
43921.49306,924,0.0097
43921.49653,838,0.0097
43921.5,821,0.0097
43921.50347,826,0.0096
43921.50694,837,0.0095
43921.51042,834,0.0094
43921.51389,797,0.0086
43921.51736,795,0.0079
43921.52083,783,0.0071
43921.52431,793,0.0067
43921.52778,742,0.0063
43921.53125,762,0.0059
43921.53472,722,0.0062
43921.53819,749,0.0065
43921.54167,733,0.0068
43921.54514,706,0.0059
43921.54861,678,0.0051
43921.55208,680,0.0043
43921.55556,677,0.0049
43921.55903,700,0.0055
43921.5625,678,0.0061
43921.56597,661,0.0055
43921.56944,645,0.0049
43921.57292,620,0.0044
43921.57639,631,0.0049
43921.57986,653,0.0054
43921.58333,644,0.0059
43921.58681,620,0.0061
43921.59028,652,0.0063
43921.59375,678,0.0065
43921.59722,669,0.0062
43921.60069,693,0.0059
43921.60417,662,0.0056
43921.60764,641,0.0053
43921.61111,652,0.0051
43921.61458,628,0.0048
43921.61806,663,0.005
43921.62153,655,0.0052
43921.625,654,0.0054
43921.62847,664,0.0055
43921.63194,683,0.0056
43921.63542,711,0.0057
43921.63889,680,0.0056
43921.64236,718,0.0055
43921.64583,713,0.0054
43921.64931,742,0.0047
43921.65278,728,0.004
